date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:02	1027/1027	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Apr%202026%2014:50:00%20GMT	http://127.0.0.1/robots.txt		(from )
15:50:08	424295/424295	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202026%2014:50:01%20GMT	http://127.0.0.1/newswave/	/home/moon/websites/wavepress-static/127.0.0.1/newswave/index.html	(from )
15:50:16	443/443	---M--	200	added ('OK')	text/css	etag:%221bb-632a5e3b09252%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_1/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_1/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:16	5842/5842	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Apr%202026%2014:50:16%20GMT	https://gmpg.org/xfn/11	/home/moon/websites/wavepress-static/gmpg.org/xfn/11.html	(from http://127.0.0.1/newswave/)
15:50:17	109/109	---M--	200	added ('OK')	text/css	etag:%226d-61f8d3810c6ed%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_1/css/gresponsive.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_1/css/gresponsive0660.css	(from http://127.0.0.1/newswave/)
15:50:18	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_2/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_2/css/frontend.30660.delayed	(from http://127.0.0.1/newswave/)
15:50:19	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_4/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_4/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:19	8459/8459	---MC-	200	added ('OK')	application/rss+xml	etag:%227ef16c2726adc3d706ed7c7a44cb1e21%22	http://127.0.0.1/newswave/comments/feed/	/home/moon/websites/wavepress-static/127.0.0.1/newswave/comments/feed/index.html	(from http://127.0.0.1/newswave/)
15:50:21	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_5/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_5/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:21	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_7/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_7/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:22	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_8/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/grid_8/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:23	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/social_links/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/social_links/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:24	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/social_counters/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/social_counters/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:26	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/products_grid/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/products_grid/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:26	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/weather/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/weather/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:26	111228/111228	---MC-	200	added ('OK')	application/rss+xml	etag:%227ef16c2726adc3d706ed7c7a44cb1e21%22	http://127.0.0.1/newswave/feed/	/home/moon/websites/wavepress-static/127.0.0.1/newswave/feed/index.html	(from http://127.0.0.1/newswave/)
15:50:27	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/categories/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/categories/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:28	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/tags/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/tags/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:29	0/0	---M--	200	added ('OK')	text/css	etag:%220-60e1d517a6d47%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/infinite_scroll/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/infinite_scroll/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:30	118/118	---M--	200	added ('OK')	text/css	etag:%2276-604ae587e47c3%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/popular_posts/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/popular_posts/css/frontend0660.css	(from http://127.0.0.1/newswave/)
15:50:31	118/118	---M--	200	added ('OK')	text/css	etag:%2276-604ae587e47c3%22	http://127.0.0.1/newswave/wp-content/themes/wavepress/widgets/latest_posts/css/frontend.css?ver=6.6.5	/home/moon/websites/wavepress-static/127.0.0.1/newswave/wp-content/themes/wavepress/widgets/latest_posts/css/frontend0660.css	(from http://127.0.0.1/newswave/)
